# alias	plan-directory	alpha-file
97_COMMAND_SHIPS	plans/97_HULL_-_Command_Ships	plan-0.5-ALPHA.txt
97_ELECTRONIC_ATTACK_SHIPS	plans/97_HULL_-_Electronic_Attack_Ships	plan-0.5-ALPHA.txt
97_HEAVY_ASSAULT_CRUISERS	plans/97_HULL_-_Heavy_Assault_Cruisers	plan-0.5-ALPHA.txt
97_HEAVY_INTERDICTION_CRUISERS	plans/97_HULL_-_Heavy_Interdiction_Cruisers	plan-0.5-ALPHA.txt
97_INTERCEPTORS	plans/97_HULL_-_Interceptors	plan-0.5-ALPHA.txt
97_INTERDICTORS	plans/97_HULL_-_Interdictors	plan-0.5-ALPHA.txt
97_LOGISTICS_CRUISERS	plans/97_HULL_-_Logistics_Cruisers	plan-0.5-ALPHA.txt
97_LOGISTICS_FRIGATES	plans/97_HULL_-_Logistics_Frigates	plan-0.5-ALPHA.txt
97_MARAUDERS	plans/97_HULL_-_Marauders	plan-0.5-ALPHA.txt
97_RECON_SHIPS	plans/97_HULL_-_Recon_Ships	plan-0.5-ALPHA.txt
98_LEGION	plans/98_HULL_-_Strategic_Cruiser_-_Legion	plan-0.5-ALPHA.txt
98_LOKI	plans/98_HULL_-_Strategic_Cruiser_-_Loki	plan-0.5-ALPHA.txt
98_PROTEUS	plans/98_HULL_-_Strategic_Cruiser_-_Proteus	plan-0.5-ALPHA.txt
98_TENGU	plans/98_HULL_-_Strategic_Cruiser_-_Tengu	plan-0.5-ALPHA.txt
99_CARRIER_AMARR	plans/99_HULL_-_Carrier_-_Amarr	plan-0.5-ALPHA.txt
99_CARRIER_CALDARI	plans/99_HULL_-_Carrier_-_Caldari	plan-0.5-ALPHA.txt
99_CARRIER_GALLENTE	plans/99_HULL_-_Carrier_-_Gallente	plan-0.5-ALPHA.txt
99_CARRIER_MINMATAR	plans/99_HULL_-_Carrier_-_Minmatar	plan-0.5-ALPHA.txt
99_COMMAND_CARRIERS	plans/99_HULL_-_Command_Carriers	plan-0.5-ALPHA.txt
99_DREADNOUGHT_AMARR	plans/99_HULL_-_Dreadnought_-_Amarr	plan-0.5-ALPHA.txt
99_DREADNOUGHT_CALDARI	plans/99_HULL_-_Dreadnought_-_Caldari	plan-0.5-ALPHA.txt
99_DREADNOUGHT_GALLENTE	plans/99_HULL_-_Dreadnought_-_Gallente	plan-0.5-ALPHA.txt
99_DREADNOUGHT_MINMATAR	plans/99_HULL_-_Dreadnought_-_Minmatar	plan-0.5-ALPHA.txt
99_LANCER_DREADNOUGHTS	plans/99_HULL_-_Lancer_Dreadnoughts	plan-0-ALPHA.txt
